field_1,centroid_y,centroid_x,Elevation,Depth_avg,Lake_area,Continent
763,44.2089447,-65.14249218,81,5.7,152.84,North America
764,44.23993886,-99.89776381,429,10.3,228.45,North America
766,43.84484755,-70.57873276,80,4.0,118.75,North America
767,43.62497552,-73.54988617,99,24.5,113.39,North America
772,42.69544461,-76.71101939,114,4.8,171.19,North America
774,42.82430047,-120.7506777,1261,3.8,108.97,North America
788,40.18703478,-111.8095005,1368,4.7,362.19,North America
798,38.00818393,-118.9658159,1948,8.4,185.96,North America
799,37.63505154,-110.5371746,1124,59.0,138.79,North America
801,36.33398247,-87.97522319,107,13.2,574.74,North America
802,37.02139106,-111.4272691,1124,207.6,120.75,North America
807,36.54842773,-95.60748577,195,16.8,114.71,North America
812,35.50785631,-76.18566502,1,2.6,158.51,North America
814,35.34674172,-94.83525446,143,4.8,135.41,North America
815,35.23344374,-95.64050193,179,13.3,354.96,North America
826,33.85552192,-89.72672193,61,31.2,107.48,North America
828,33.48046635,-80.26617545,23,6.8,223.33,North America
830,33.30647519,-80.07417141,21,6.2,220.89,North America
836,32.00514431,-96.19504413,97,13.7,156.51,North America
838,31.52583849,-93.75509745,52,10.5,599.62,North America
839,31.24770576,-94.35651553,48,20.6,380.2,North America
841,30.71430637,-95.13975647,42,11.5,219.58,North America
842,30.25739692,-90.50490893,2,1.5,236.99,North America
843,29.90776744,-92.75470685,0,1.5,190.81,North America
844,30.03208333,-93.30047469,1,4.2,256.31,North America
846,29.74188611,-92.50077593,0,1.3,225.56,North America
847,29.6818789,-90.25803226,0,1.0,386.46,North America
849,29.2948015,-81.58982802,5,8.9,185.24,North America
850,29.35639041,-107.8448016,2131,1.9,147.02,North America
852,28.61857164,-81.61529688,17,10.8,123.31,North America
853,28.56072883,-106.7646947,1967,5.6,105.38,North America
854,27.90079244,-81.26637658,13,7.4,121.12,North America
855,26.72172852,-99.21528606,80,32.5,120.78,North America
858,19.96618585,-101.263319,1831,8.7,207.7,North America
860,18.48638095,-71.58166774,-42,8.9,227.51,North America
862,18.25859368,-96.56609629,69,16.8,387.61,North America
866,16.156808,-92.59978091,525,16.2,566.28,North America
915,-8.922191162,-38.6047624,302,15.7,687.51,South America
916,-11.02008358,-76.11231,4080,3.4,163.12,South America
924,-15.15760699,-70.05630473,3812,21.0,101.9,South America
928,-18.60874891,-45.23048781,566,26.3,799.76,South America
929,-18.30817098,-48.93457894,504,51.0,333.17,South America
930,-18.41653402,-47.7799775,633,85.3,206.21,South America
931,-18.68268107,-50.25419398,399,21.5,583.59,South America
933,-19.35975233,-68.0933114,3661,0.9,886.54,South America
934,-19.94141466,-49.92008882,379,21.9,507.07,South America
